4CGVA	136	  132	331	1e-39	52.54
1A17A	166	75.9	185	7e-18	37.96
4GCOA	126	68.2	165	2e-15	31.43
4I2ZA	961	72.0	175	4e-15	38.71
1P5QA	336	68.9	167	1e-14	35.16
3KD7A	125	65.5	158	2e-14	34.21
2VYIA	131	64.7	156	4e-14	39.39
1ELWA	118	63.5	153	1e-13	32.71
1KT1A	457	63.9	154	1e-12	35.77
3SZ7A	164	55.5	132	1e-10	34.83
3Q4AB	137	55.1	131	1e-10	39.74
4CGQA	111	51.2	121	2e-09	36.92
4J8EA	175	50.4	119	8e-09	29.59
2HYZA	136	49.7	117	9e-09	31.37
2HYZA	136	48.1	113	3e-08	32.26
2GW1A	514	50.1	118	5e-08	29.51
3FP3A	537	47.0	110	4e-07	28.23
1IHGA	370	46.6	109	6e-07	31.06
3RKVA	162	44.7	104	7e-07	28.57
3UPVA	126	42.7	99	3e-06	31.94
4GCNA	127	42.7	99	3e-06	30.83
1NA3A	91	41.6	96	4e-06	34.72
1NA3A	91	34.7	78	0.002	30.67
3IEGA	359	39.3	90	1e-04	28.97
2FBNA	198	37.7	86	5e-04	24.81
3AS5A	186	35.4	80	0.003	25.81
4R7SA	257	35.4	80	0.003	26.19
4APOA	165	35.0	79	0.004	26.27
1W3BA	388	35.0	79	0.004	24.30
